date,weekdays,price,production,area,CPI,P.Gas,R.Gas,diesel,avg.temp,precipitation,wind.speed,avg.humid,t.sunhour,t.insolation,snow.depth,avg.gtemp,CHN.volume,USA.volume,ITA.volume,CHL.volume,ESP.volume
2016. 1. 1,금,0,8604.294118,375.9411765,95.232,1885.79,1491.05,1277.1,1.2,0,1.6,73,2.1,4.61,0,0.2,1613,1511.07,673,77,130
2016. 1. 4,월,13000,8604.294118,375.9411765,95.232,1884.7,1489.22,1274.66,2,0,3.1,54.4,8.6,9.03,0,3,1613,1511.07,673,77,130
2016. 1. 5,화,13000,8604.294118,375.9411765,95.232,1885.33,1488.01,1273.53,-2.7,0,2.3,39.4,7.9,8.22,0,0.1,1613,1511.07,673,77,130
2016. 1. 6,수,14000,8604.294118,375.9411765,95.232,1883.38,1486.25,1271.49,-1.7,0,1.8,54.3,2.2,4.69,0,-0.5,1613,1511.07,673,77,130
2016. 1. 7,목,12500,8604.294118,375.9411765,95.232,1880.12,1485.34,1269.8,-3.4,0,2.5,51.8,9.1,9.76,0,-1,1613,1511.07,673,77,130
2016. 1. 8,금,12000,8604.294118,375.9411765,95.232,1878.63,1484.19,1268.43,-3.3,0,2,49.8,9.2,9.83,0,-1.5,1613,1511.07,673,77,130
2016. 1. 11,월,12500,8604.294118,375.9411765,95.232,1876.46,1481.65,1264.88,-3.8,0,2.8,38.3,9.1,9.89,0,-1.6,1613,1511.07,673,77,130
2016. 1. 12,화,12500,8604.294118,375.9411765,95.232,1876.29,1479.84,1262.23,-5.2,0,2.5,46,9.1,10.02,0,-2.5,1613,1511.07,673,77,130
2016. 1. 13,수,13500,8604.294118,375.9411765,95.232,1874.76,1478.42,1260,-4.5,0.4,2,63,5.8,6.69,0.5,-1.8,1613,1511.07,673,77,130
2016. 1. 14,목,12500,8604.294118,375.9411765,95.232,1872.93,1476.22,1256.91,-3.4,0,1.7,52.1,7.7,8.8,0.4,-1.1,1613,1511.07,673,77,130
2016. 1. 15,금,13000,8604.294118,375.9411765,95.232,1871.68,1474.96,1255.19,-0.4,0,1.8,52.3,6.1,7.85,0,-0.2,1613,1511.07,673,77,130
2016. 1. 18,월,13500,8604.294118,375.9411765,95.232,1868.72,1471.6,1250.6,-6.3,0.2,4.8,59.8,7.8,8.31,0.4,-1.3,1613,1511.07,673,77,130
2016. 1. 19,화,13500,8604.294118,375.9411765,95.232,1863.94,1467.14,1244.28,-12.8,0,5.4,45.9,9.3,10.82,0,-5.8,1613,1511.07,673,77,130
2016. 1. 20,수,14500,8604.294118,375.9411765,95.232,1861.47,1464.44,1240.72,-10.5,0,1.8,43.6,9,9.08,0,-5.1,1613,1511.07,673,77,130
2016. 1. 21,목,14000,8604.294118,375.9411765,95.232,1859.95,1463.38,1239.09,-7.1,0,1.8,44.3,6.5,8.41,0,-3.4,1613,1511.07,673,77,130
2016. 1. 22,금,15000,8604.294118,375.9411765,95.232,1857.05,1461.96,1236.4,-7.6,0,2.6,40.5,6.2,7.62,0,-4.1,1613,1511.07,673,77,130
