지점,지점명,일시,일 미세먼지 농도(㎍/㎥)
90,속초,2016-01-01,32
90,속초,2016-01-02,29
90,속초,2016-01-03,68
90,속초,2016-01-04,50
90,속초,2016-01-05,13
90,속초,2016-01-06,23
90,속초,2016-01-07,22
90,속초,2016-01-08,16
90,속초,2016-01-09,16
90,속초,2016-01-10,19
90,속초,2016-01-11,18
90,속초,2016-01-12,20
90,속초,2016-01-13,20
90,속초,2016-01-14,22
90,속초,2016-01-15,23
90,속초,2016-01-16,32
90,속초,2016-01-17,41
90,속초,2016-01-18,41
90,속초,2016-01-19,26
90,속초,2016-01-20,24
90,속초,2016-01-21,33
90,속초,2016-01-22,28
90,속초,2016-01-23,19
90,속초,2016-01-24,28
90,속초,2016-01-25,25
90,속초,2016-01-26,37
90,속초,2016-01-27,34
90,속초,2016-01-28,28
90,속초,2016-01-29,30
90,속초,2016-01-30,17
90,속초,2016-01-31,32
90,속초,2016-02-01,29
90,속초,2016-02-02,26
90,속초,2016-02-03,29
90,속초,2016-02-04,31
90,속초,2016-02-05,24
90,속초,2016-02-06,26
90,속초,2016-02-07,28
90,속초,2016-02-08,35
90,속초,2016-02-09,25
90,속초,2016-02-10,18
90,속초,2016-02-11,26
90,속초,2016-02-12,33
90,속초,2016-02-13,24
90,속초,2016-02-14,16
90,속초,2016-02-15,18
90,속초,2016-02-16,19
90,속초,2016-02-17,25
90,속초,2016-02-18,39
90,속초,2016-02-19,41
90,속초,2016-02-20,34
90,속초,2016-02-21,21
90,속초,2016-02-22,27
90,속초,2016-02-23,50
90,속초,2016-02-24,23
90,속초,2016-02-25,30
90,속초,2016-02-26,22
90,속초,2016-02-27,35
90,속초,2016-02-28,37
90,속초,2016-02-29,44
90,속초,2016-03-01,31
90,속초,2016-03-02,55
90,속초,2016-03-03,56
90,속초,2016-03-04,63
90,속초,2016-03-05,30
90,속초,2016-03-06,23
90,속초,2016-03-07,49
90,속초,2016-03-08,50
90,속초,2016-03-09,23
90,속초,2016-03-10,29
90,속초,2016-03-11,26
90,속초,2016-03-12,42
90,속초,2016-03-13,55
90,속초,2016-03-14,40
90,속초,2016-03-15,36
90,속초,2016-03-16,48
90,속초,2016-03-17,28
90,속초,2016-03-18,28
90,속초,2016-03-19,62
90,속초,2016-03-20,37
90,속초,2016-03-21,29
90,속초,2016-03-22,41
90,속초,2016-03-23,25
90,속초,2016-03-24,20
90,속초,2016-03-25,19
90,속초,2016-03-26,40
90,속초,2016-03-27,56
90,속초,2016-03-28,55
90,속초,2016-03-29,61
90,속초,2016-03-30,55
90,속초,2016-03-31,40
90,속초,2016-04-01,42
90,속초,2016-04-02,38
90,속초,2016-04-03,31
90,속초,2016-04-04,21
90,속초,2016-04-05,44
90,속초,2016-04-06,59
90,속초,2016-04-07,30
90,속초,2016-04-08,53
90,속초,2016-04-09,92
90,속초,2016-04-10,61
90,속초,2016-04-11,33
90,속초,2016-04-12,38
90,속초,2016-04-13,36
90,속초,2016-04-14,47
90,속초,2016-04-15,34
90,속초,2016-04-16,39
90,속초,2016-04-17,32
90,속초,2016-04-18,71
90,속초,2016-04-19,35
90,속초,2016-04-20,31
90,속초,2016-04-21,22
90,속초,2016-04-22,72
90,속초,2016-04-23,137
90,속초,2016-04-24,62
90,속초,2016-04-25,54
90,속초,2016-04-26,50
90,속초,2016-04-27,37
90,속초,2016-04-28,26
90,속초,2016-04-29,26
90,속초,2016-04-30,55
90,속초,2016-05-01,38
90,속초,2016-05-02,22
90,속초,2016-05-03,20
90,속초,2016-05-10,28
90,속초,2016-05-11,24
90,속초,2016-05-12,48
90,속초,2016-05-13,28
90,속초,2016-05-14,19
90,속초,2016-05-15,20
90,속초,2016-05-16,40
90,속초,2016-05-17,36
90,속초,2016-05-18,37
90,속초,2016-05-19,27
90,속초,2016-05-20,22
90,속초,2016-05-21,26
90,속초,2016-05-22,32
90,속초,2016-05-23,29
90,속초,2016-05-24,27
90,속초,2016-05-25,55
90,속초,2016-05-26,69
90,속초,2016-05-27,48
90,속초,2016-05-28,42
90,속초,2016-05-29,38
90,속초,2016-05-30,33
90,속초,2016-05-31,55
90,속초,2016-06-01,32
90,속초,2016-06-02,23
90,속초,2016-06-03,32
90,속초,2016-06-04,29
90,속초,2016-06-05,25
90,속초,2016-06-06,22
90,속초,2016-06-07,21
90,속초,2016-06-08,16
90,속초,2016-06-09,17
90,속초,2016-06-10,24
90,속초,2016-06-11,38
90,속초,2016-06-12,27
90,속초,2016-06-13,15
90,속초,2016-06-14,15
90,속초,2016-06-15,19
90,속초,2016-06-16,21
90,속초,2016-06-17,35
90,속초,2016-06-18,44
90,속초,2016-06-19,27
90,속초,2016-06-20,25
90,속초,2016-06-21,22
90,속초,2016-06-22,17
90,속초,2016-06-23,21
90,속초,2016-06-24,19
90,속초,2016-06-25,20
90,속초,2016-06-26,29
90,속초,2016-06-27,42
90,속초,2016-06-28,25
90,속초,2016-06-29,24
90,속초,2016-06-30,20
90,속초,2016-07-01,26
90,속초,2016-07-02,18
90,속초,2016-07-03,19
90,속초,2016-07-04,18
90,속초,2016-07-06,19
90,속초,2016-07-07,12
90,속초,2016-07-08,15
90,속초,2016-07-09,20
90,속초,2016-07-10,24
90,속초,2016-07-11,16
90,속초,2016-07-12,30
90,속초,2016-07-13,14
90,속초,2016-07-14,10
90,속초,2016-07-15,17
90,속초,2016-07-16,13
90,속초,2016-07-17,11
90,속초,2016-07-19,11
90,속초,2016-07-20,12
90,속초,2016-07-21,13
90,속초,2016-07-22,15
90,속초,2016-07-23,16
90,속초,2016-07-24,12
90,속초,2016-07-25,16
90,속초,2016-07-26,15
90,속초,2016-07-27,24
90,속초,2016-07-28,27
90,속초,2016-07-29,35
90,속초,2016-07-30,33
90,속초,2016-07-31,29
90,속초,2016-08-01,21
90,속초,2016-08-02,24
90,속초,2016-08-03,22
90,속초,2016-08-04,18
90,속초,2016-08-05,20
90,속초,2016-08-06,20
90,속초,2016-08-07,30
90,속초,2016-08-08,26
90,속초,2016-08-09,17
90,속초,2016-08-10,24
90,속초,2016-08-11,30
90,속초,2016-08-12,29
90,속초,2016-08-13,29
90,속초,2016-08-14,27
90,속초,2016-08-15,25
90,속초,2016-08-16,18
90,속초,2016-08-17,13
90,속초,2016-08-18,14
90,속초,2016-08-19,17
90,속초,2016-08-20,17
90,속초,2016-08-21,12
90,속초,2016-08-22,13
90,속초,2016-08-23,10
90,속초,2016-08-24,16
90,속초,2016-08-26,19
90,속초,2016-08-27,13
90,속초,2016-08-29,24
90,속초,2016-08-30,27
90,속초,2016-09-01,36
90,속초,2016-09-02,32
90,속초,2016-09-03,11
90,속초,2016-09-04,16
90,속초,2016-09-05,14
90,속초,2016-09-06,25
90,속초,2016-09-07,38
90,속초,2016-09-08,26
90,속초,2016-09-09,27
90,속초,2016-09-10,18
90,속초,2016-09-11,14
90,속초,2016-09-12,13
90,속초,2016-09-13,13
90,속초,2016-09-14,13
90,속초,2016-09-15,22
90,속초,2016-09-16,27
90,속초,2016-09-17,16
90,속초,2016-09-18,21
90,속초,2016-09-19,14
90,속초,2016-09-20,20
90,속초,2016-09-21,30
90,속초,2016-09-22,40
90,속초,2016-09-23,32
90,속초,2016-09-24,32
90,속초,2016-09-25,31
90,속초,2016-09-26,40
90,속초,2016-09-27,31
90,속초,2016-09-28,18
90,속초,2016-09-29,14
90,속초,2016-09-30,17
90,속초,2016-10-01,22
90,속초,2016-10-02,24
90,속초,2016-10-03,11
90,속초,2016-10-04,22
90,속초,2016-10-05,19
90,속초,2016-10-06,20
90,속초,2016-10-07,22
90,속초,2016-10-08,14
90,속초,2016-10-09,13
90,속초,2016-10-10,20
90,속초,2016-10-11,33
90,속초,2016-10-12,26
90,속초,2016-10-13,24
90,속초,2016-10-14,59
90,속초,2016-10-15,53
90,속초,2016-10-16,40
90,속초,2016-10-17,35
