시도별(1),종류별(1),2016,2017,2018,2019,2020
시도별(1),종류별(1),토마토,토마토,토마토,토마토,토마토
계,합계,6391,5782,6058,5706,5521
계,논,1707,945,867,778,829
계,밭,4684,4836,5192,4928,4692
서울특별시,합계,4,2,4,4,4
서울특별시,논,0,0,0,0,0
서울특별시,밭,4,2,4,4,4
부산광역시,합계,408,316,363,301,410
부산광역시,논,181,216,273,241,307
부산광역시,밭,227,99,90,60,103
대구광역시,합계,203,197,167,186,150
대구광역시,논,111,106,92,98,74
대구광역시,밭,92,91,75,88,76
인천광역시,합계,62,55,54,79,74
인천광역시,논,0,0,4,0,0
인천광역시,밭,62,55,50,79,74
광주광역시,합계,136,127,123,95,90
광주광역시,논,19,0,0,0,11
광주광역시,밭,117,127,123,95,80
대전광역시,합계,45,27,21,36,30
대전광역시,논,6,6,0,0,0
대전광역시,밭,39,21,21,36,30
울산광역시,합계,12,11,2,5,2
울산광역시,논,0,0,0,0,0
울산광역시,밭,12,11,2,5,2
세종특별자치시,합계,28,21,12,15,22
세종특별자치시,논,0,0,0,0,0
세종특별자치시,밭,28,21,12,15,22
경기도,합계,489,387,362,315,269
경기도,논,10,0,1,1,0
경기도,밭,479,387,361,314,268
강원도,합계,795,852,1061,922,906
강원도,논,27,19,61,16,13
강원도,밭,768,833,999,906,893
충청북도,합계,295,309,406,402,445
충청북도,논,0,18,0,34,50
충청북도,밭,295,291,406,367,395
충청남도,합계,1193,869,750,778,727
충청남도,논,453,97,2,5,10
충청남도,밭,740,772,748,773,717
전라북도,합계,338,359,457,483,495
전라북도,논,99,84,102,112,159
전라북도,밭,239,275,355,371,336
전라남도,합계,1100,945,964,908,871
전라남도,논,219,52,46,69,21
전라남도,밭,881,893,917,839,850
경상북도,합계,550,593,485,505,356
경상북도,논,134,97,109,125,73
경상북도,밭,416,496,376,379,282
경상남도,합계,685,625,757,629,626
경상남도,논,448,247,177,78,109
경상남도,밭,237,377,580,552,517
제주도,합계,48,86,71,44,43
제주도,논,0,0,0,0,0
제주도,밭,48,86,71,44,43
